;n;label;hit;total;percent
126;4;H;18.0;29.0;0.6206896551724138
127;4;J;10.0;28.0;0.35714285714285715
128;4;K;24.0;30.0;0.8
129;4;L;31.0;33.0;0.9393939393939394
130;4;M;22.0;26.0;0.8461538461538461
131;4;N;31.0;37.0;0.8378378378378378
132;4;P;27.0;31.0;0.8709677419354839
133;4;R;22.0;23.0;0.9565217391304348
134;4;S;25.0;32.0;0.78125
135;4;T;23.0;31.0;0.7419354838709677
136;4;V;21.0;25.0;0.84
137;4;W;22.0;27.0;0.8148148148148148
138;4;X;21.0;29.0;0.7241379310344828
139;4;Z;18.0;24.0;0.75
140;5;1;19.0;28.0;0.6785714285714286
141;5;2;18.0;22.0;0.8181818181818182
142;5;3;26.0;32.0;0.8125
143;5;4;21.0;28.0;0.75
144;5;5;25.0;27.0;0.9259259259259259
145;5;6;23.0;30.0;0.7666666666666667
146;5;7;23.0;29.0;0.7931034482758621
147;5;8;20.0;28.0;0.7142857142857143
148;5;9;16.0;24.0;0.6666666666666666
149;5;B;30.0;41.0;0.7317073170731707
150;5;C;18.0;25.0;0.72
151;5;D;16.0;20.0;0.8
152;5;F;16.0;22.0;0.7272727272727273
153;5;G;25.0;32.0;0.78125
154;5;H;13.0;23.0;0.5652173913043478
155;5;J;13.0;21.0;0.6190476190476191
156;5;K;28.0;37.0;0.7567567567567568
157;5;L;29.0;35.0;0.8285714285714286
158;5;M;22.0;27.0;0.8148148148148148
159;5;N;30.0;39.0;0.7692307692307693
160;5;P;28.0;31.0;0.9032258064516129
161;5;R;19.0;25.0;0.76
162;5;S;19.0;26.0;0.7307692307692307
163;5;T;27.0;34.0;0.7941176470588235
164;5;V;20.0;27.0;0.7407407407407407
165;5;W;22.0;28.0;0.7857142857142857
166;5;X;20.0;31.0;0.6451612903225806
167;5;Z;18.0;28.0;0.6428571428571429
168;6;1;26.0;33.0;0.7878787878787878
169;6;2;25.0;35.0;0.7142857142857143
170;6;3;23.0;27.0;0.8518518518518519
171;6;4;19.0;23.0;0.8260869565217391
172;6;5;19.0;20.0;0.95
173;6;6;17.0;25.0;0.68
174;6;7;20.0;25.0;0.8
175;6;8;25.0;30.0;0.8333333333333334
176;6;9;18.0;25.0;0.72
177;6;B;30.0;36.0;0.8333333333333334
178;6;C;22.0;26.0;0.8461538461538461
179;6;D;22.0;29.0;0.7586206896551724
180;6;F;23.0;28.0;0.8214285714285714
181;6;G;24.0;26.0;0.9230769230769231
182;6;H;15.0;27.0;0.5555555555555556
183;6;J;17.0;28.0;0.6071428571428571
184;6;K;23.0;30.0;0.7666666666666667
185;6;L;19.0;25.0;0.76
186;6;M;22.0;26.0;0.8461538461538461
187;6;N;29.0;33.0;0.8787878787878788
188;6;P;25.0;30.0;0.8333333333333334
189;6;R;18.0;24.0;0.75
190;6;S;32.0;35.0;0.9142857142857143
191;6;T;24.0;30.0;0.8
192;6;V;26.0;28.0;0.9285714285714286
193;6;W;26.0;31.0;0.8387096774193549
194;6;X;25.0;39.0;0.6410256410256411
195;6;Z;21.0;26.0;0.8076923076923077
196;7;1;13.0;23.0;0.5652173913043478
197;7;2;17.0;21.0;0.8095238095238095
198;7;3;30.0;33.0;0.9090909090909091
199;7;4;19.0;30.0;0.6333333333333333
200;7;5;29.0;32.0;0.90625
201;7;6;17.0;22.0;0.7727272727272727
202;7;7;13.0;23.0;0.5652173913043478
203;7;8;20.0;26.0;0.7692307692307693
204;7;9;25.0;33.0;0.7575757575757576
205;7;B;25.0;32.0;0.78125
206;7;C;21.0;29.0;0.7241379310344828
207;7;D;16.0;23.0;0.6956521739130435
208;7;F;25.0;37.0;0.6756756756756757
209;7;G;25.0;30.0;0.8333333333333334
210;7;H;18.0;27.0;0.6666666666666666
211;7;J;15.0;20.0;0.75
212;7;K;22.0;26.0;0.8461538461538461
213;7;L;27.0;30.0;0.9
214;7;M;26.0;34.0;0.7647058823529411
215;7;N;32.0;36.0;0.8888888888888888
216;7;P;23.0;26.0;0.8846153846153846
217;7;R;17.0;23.0;0.7391304347826086
218;7;S;25.0;30.0;0.8333333333333334
219;7;T;26.0;36.0;0.7222222222222222
220;7;V;21.0;26.0;0.8076923076923077
221;7;W;24.0;33.0;0.7272727272727273
222;7;X;23.0;31.0;0.7419354838709677
223;7;Z;22.0;28.0;0.7857142857142857
224;8;1;19.0;27.0;0.7037037037037037
225;8;2;19.0;25.0;0.76
226;8;3;31.0;38.0;0.8157894736842105
227;8;4;12.0;25.0;0.48
228;8;5;29.0;31.0;0.9354838709677419
229;8;6;17.0;21.0;0.8095238095238095
230;8;7;18.0;28.0;0.6428571428571429
231;8;8;31.0;38.0;0.8157894736842105
232;8;9;18.0;25.0;0.72
233;8;B;29.0;36.0;0.8055555555555556
234;8;C;24.0;30.0;0.8
235;8;D;19.0;25.0;0.76
236;8;F;19.0;28.0;0.6785714285714286
237;8;G;21.0;22.0;0.9545454545454546
238;8;H;18.0;26.0;0.6923076923076923
239;8;J;25.0;33.0;0.7575757575757576
240;8;K;24.0;30.0;0.8
241;8;L;21.0;25.0;0.84
242;8;M;19.0;27.0;0.7037037037037037
243;8;N;21.0;26.0;0.8076923076923077
244;8;P;27.0;30.0;0.9
245;8;R;17.0;22.0;0.7727272727272727
246;8;S;27.0;29.0;0.9310344827586207
247;8;T;29.0;37.0;0.7837837837837838
248;8;V;30.0;32.0;0.9375
249;8;W;22.0;26.0;0.8461538461538461
250;8;X;27.0;34.0;0.7941176470588235
251;8;Z;16.0;24.0;0.6666666666666666
252;9;1;26.0;34.0;0.7647058823529411
253;9;2;14.0;22.0;0.6363636363636364
254;9;3;28.0;33.0;0.8484848484848485
255;9;4;19.0;27.0;0.7037037037037037
256;9;5;18.0;20.0;0.9
257;9;6;21.0;29.0;0.7241379310344828
258;9;7;18.0;30.0;0.6
259;9;8;28.0;33.0;0.8484848484848485
260;9;9;18.0;24.0;0.75
261;9;B;32.0;40.0;0.8
262;9;C;27.0;33.0;0.8181818181818182
263;9;D;20.0;26.0;0.7692307692307693
264;9;F;21.0;29.0;0.7241379310344828
265;9;G;21.0;23.0;0.9130434782608695
266;9;H;13.0;24.0;0.5416666666666666
267;9;J;15.0;22.0;0.6818181818181818
268;9;K;23.0;30.0;0.7666666666666667
269;9;L;27.0;32.0;0.84375
270;9;M;22.0;25.0;0.88
271;9;N;22.0;28.0;0.7857142857142857
272;9;P;31.0;35.0;0.8857142857142857
273;9;R;29.0;33.0;0.8787878787878788
274;9;S;21.0;26.0;0.8076923076923077
275;9;T;16.0;24.0;0.6666666666666666
276;9;V;24.0;26.0;0.9230769230769231
277;9;W;27.0;33.0;0.8181818181818182
278;9;X;22.0;26.0;0.8461538461538461
279;9;Z;21.0;33.0;0.6363636363636364
280;10;1;14.0;23.0;0.6086956521739131
281;10;2;19.0;25.0;0.76
282;10;3;28.0;36.0;0.7777777777777778
283;10;4;21.0;30.0;0.7
284;10;5;27.0;31.0;0.8709677419354839
285;10;6;13.0;15.0;0.8666666666666667
286;10;7;16.0;23.0;0.6956521739130435
287;10;8;21.0;30.0;0.7
