;n;metric
0;0;0.6885657626390457
1;0;0.6827986162900924
2;0;0.6847006538510323
3;0;0.6457389777898789
4;0;0.6041217592358589
5;0;0.5857825130224228
6;0;0.5512482146918773
7;0;0.45425764471292496
8;0;0.48130301728844643
9;0;0.3809080523252487
10;0;0.43911838963627814
11;0;0.392205314040184
12;0;0.3125764708220959
13;0;0.3968377286940813
14;0;0.3437871108949184
15;0;0.2860159283131361
16;0;0.34152332961559295
17;0;0.2941271325200796
18;0;0.23006577983498575
19;0;0.299415325820446
20;0;0.2828472809493542
21;0;0.1960949770361185
22;0;0.22681830145418644
23;0;0.21526236660778522
24;0;0.16864447697997093
25;0;0.17385486274957657
26;0;0.1904219827055931
27;0;0.13831713132560253
28;0;0.09142909780144691
29;0;0.20309920728206635
30;0;0.10833017379045487
31;0;0.14473032034933567
32;0;0.12955867297947407
33;0;0.10711195632815361
34;0;0.09538622245192528
35;0;0.13924874551594257
36;0;0.09719116263091564
37;0;0.08914022348821163
38;0;0.11801116175949573
39;0;0.10125576451420784
40;0;0.10054673925042153
41;0;0.11649653859436512
42;0;0.07263025045394897
43;0;0.03394570700824261
44;0;0.10845441184937954
45;0;0.0609576503187418
46;0;0.07394870109856129
47;0;0.0902340392768383
48;0;0.03799232736229897
49;0;0.06431525647640228
50;0;0.024994916543364526
51;0;0.02270767718553543
52;0;0.06863382905721664
53;0;0.15266446970403194
54;0;0.015634912848472595
55;0;0.05191244922578335
56;0;0.04225461356341839
57;0;0.03609035894274712
58;0;0.01824207730591297
59;0;0.021479148343205454
60;0;0.01948972150683403
61;0;0.017719189822673797
62;0;0.015114693120121956
63;0;0.020018436908721925
64;0;0.009321742206811905
65;0;0.036988420337438585
66;0;0.09615874521434307
67;0;0.10868688359856606
68;0;0.04378727175295353
69;0;0.01509929172694683
70;0;0.023708059191703795
71;0;0.04501676991581917
72;0;0.004127556681632996
73;0;0.01589482381939888
74;0;0.01996383547782898
75;0;0.01061958134174347
76;0;0.00094899982213974
77;0;0.007712945118546486
78;0;0.0057448107749223706
79;0;0.004206225574016571
80;0;0.013125674724578857
81;0;0.00477305106818676
82;0;0.006249001175165176
83;0;0.008949439972639084
84;0;0.008811990916728973
85;0;0.00436485193669796
86;0;0.0020601201057434083
87;0;0.00016582846641540527
88;0;0.00936997689306736
89;0;0.00458168938755989
90;1;0.6901725655794144
91;1;0.6856268131732941
92;1;0.6596748995780944
93;1;0.6068041284382343
94;1;0.5654098784923554
95;1;0.5727590662240982
96;1;0.5165752090513707
97;1;0.46415894731879237
98;1;0.45507584407925605
99;1;0.3651858889311552
100;1;0.40488828867673876
101;1;0.3754992298781872
102;1;0.3083740717172623
103;1;0.38511474266648293
104;1;0.36903910122811795
105;1;0.2857451748847961
